,Name,Length,Start,End,is_Complete
0,">full_1_Escherichia
",1543,Escherichia,Escherichia,1
1,">full_2_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
2,">full_3_Pseudomonas
",1527,Pseudomonas,Pseudomonas,1
3,">full_4_Enterococcus
",1563,Enterococcus,Enterococcus,1
4,">full_5_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
5,">full_6_Escherichia
",1543,Escherichia,Escherichia,1
6,">full_7_Listeria
",1553,Listeria,Listeria,1
7,">full_8_Listeria
",1553,Listeria,Listeria,1
8,">full_9_Bacillus
",1559,Bacillus,Bacillus,1
9,">full_10_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
10,">full_11_Escherichia
",1543,Escherichia,Escherichia,1
11,">full_12_Salmonella
",1537,Salmonella,Salmonella,1
12,">full_13_Escherichia
",1543,Escherichia,Escherichia,1
13,">full_14_Salmonella
",1537,Salmonella,Salmonella,1
14,">full_15_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
15,">full_16_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
16,">full_17_Escherichia
",1543,Escherichia,Escherichia,1
17,">full_18_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
18,">full_19_Enterococcus
",1563,Enterococcus,Enterococcus,1
19,">full_20_Escherichia
",1543,Escherichia,Escherichia,1
20,">full_21_Enterococcus
",1563,Enterococcus,Enterococcus,1
21,">full_22_Listeria
",1553,Listeria,Listeria,1
22,">full_23_Escherichia
",1543,Escherichia,Escherichia,1
23,">full_24_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
24,">full_25_Listeria
",1553,Listeria,Listeria,1
25,">full_26_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
26,">full_27_Listeria
",1553,Listeria,Listeria,1
27,">full_28_Salmonella
",1537,Salmonella,Salmonella,1
28,">full_29_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
29,">full_30_Listeria
",1553,Listeria,Listeria,1
30,">full_31_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
31,">full_32_Salmonella
",1537,Salmonella,Salmonella,1
32,">full_33_Bacillus
",1559,Bacillus,Bacillus,1
33,">full_34_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
34,">full_35_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
35,">full_36_Enterococcus
",1563,Enterococcus,Enterococcus,1
36,">full_37_Bacillus
",1559,Bacillus,Bacillus,1
37,">full_38_Salmonella
",1537,Salmonella,Salmonella,1
38,">full_39_Listeria
",1553,Listeria,Listeria,1
39,">full_40_Enterococcus
",1563,Enterococcus,Enterococcus,1
40,">full_41_Listeria
",1553,Listeria,Listeria,1
41,">full_42_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
42,">full_43_Enterococcus
",1563,Enterococcus,Enterococcus,1
43,">full_44_Listeria
",1553,Listeria,Listeria,1
44,">full_45_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
45,">full_46_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
46,">full_47_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
47,">full_48_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
48,">full_49_Listeria
",1553,Listeria,Listeria,1
49,">full_50_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
50,">full_51_Enterococcus
",1563,Enterococcus,Enterococcus,1
51,">full_52_Bacillus
",1559,Bacillus,Bacillus,1
52,">full_53_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
53,">full_54_Listeria
",1553,Listeria,Listeria,1
54,">full_55_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
55,">full_56_Bacillus
",1559,Bacillus,Bacillus,1
56,">full_57_Listeria
",1553,Listeria,Listeria,1
57,">full_58_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
58,">full_59_Listeria
",1553,Listeria,Listeria,1
59,">full_60_Bacillus
",1559,Bacillus,Bacillus,1
60,">full_61_Enterococcus
",1563,Enterococcus,Enterococcus,1
61,">full_62_Listeria
",1553,Listeria,Listeria,1
62,">full_63_Enterococcus
",1563,Enterococcus,Enterococcus,1
63,">full_64_Listeria
",1553,Listeria,Listeria,1
64,">full_65_Staphylococcus
",1557,Staphylococcus,Staphylococcus,1
65,">full_66_Lactobacillus
",1569,Lactobacillus,Lactobacillus,1
66,">full_67_Listeria
",1553,Listeria,Listeria,1
67,">full_68_Bacillus
",1559,Bacillus,Bacillus,1
